school_code,school_name,postcode,town_suburb,operational_directorate,principal_network,class_type
3980,Cabramatta West Public School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with autism (Au)
3980,Cabramatta West Public School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with moderate intellectual disability (IO)
4019,Forestville Public School,2087,Forestville ,Macquarie Park,The Forest,Supporting students with mental health issues (ED Emotional Disturbance)
4027,Griffith North Public School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with disability prior to school (EI Early Intervention)
4056,Rooty Hill Public School,2766,Rooty Hill ,Macquarie Park,Eastern Creek,Supporting students with mild intellectual disability (IM)
4066,Windsor South Public School,2756,South Windsor,Macquarie Park,Windsor,Supporting students with disability prior to school (EI Early Intervention)
4083,Kemblawarra Public School,2505,Port Kembla ,Wagga Wagga,Lake Illawarra North,Supporting students with autism (Au)
4083,Kemblawarra Public School,2505,Port Kembla ,Wagga Wagga,Lake Illawarra North,Supporting students with mental health issues (ED Emotional Disturbance)
4083,Kemblawarra Public School,2505,Port Kembla ,Wagga Wagga,Lake Illawarra North,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4116,Blacktown West Public School,2148,Blacktown ,Macquarie Park,Bungarribee,Supporting students with mental health issues (ED Emotional Disturbance)
4116,Blacktown West Public School,2148,Blacktown ,Macquarie Park,Bungarribee,Supporting students with mild intellectual disability (IM)
4121,Albion Park Rail Public School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4121,Albion Park Rail Public School,2527,Albion Park ,Wagga Wagga,Lake Illawarra South,Supporting students with mild intellectual disability (IM)
4123,Rydalmere East Public School,2115,Ermington ,Macquarie Park,Carlingford,Supporting students with autism (Au)
4162,Seven Hills West Public School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with autism (Au)
4162,Seven Hills West Public School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with mild intellectual disability (IM)
4162,Seven Hills West Public School,2147,Seven Hills ,Macquarie Park,Bungarribee,Supporting students with moderate intellectual disability (IO)
4166,Marayong Public School,2148,Blacktown ,Macquarie Park,Quakers Hill,Supporting students with autism (Au)
4166,Marayong Public School,2148,Blacktown ,Macquarie Park,Quakers Hill,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4166,Marayong Public School,2148,Blacktown ,Macquarie Park,Quakers Hill,Supporting students with mental health issues (ED Emotional Disturbance)
4166,Marayong Public School,2148,Blacktown ,Macquarie Park,Quakers Hill,Supporting students with mild intellectual disability (IM)
4166,Marayong Public School,2148,Blacktown ,Macquarie Park,Quakers Hill,Supporting students with moderate intellectual disability (IO)
4168,Lavington East Public School,2641,Lavington,Wagga Wagga,Albury,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4191,Lalor Park Public School,2147,Lalor Park ,Macquarie Park,Bungarribee,Supporting students with autism (Au)
4191,Lalor Park Public School,2147,Lalor Park ,Macquarie Park,Bungarribee,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4191,Lalor Park Public School,2147,Lalor Park ,Macquarie Park,Bungarribee,Supporting students with moderate intellectual disability (IO)
4194,Charlestown East Public School,2290,Charlestown ,Tamworth,Glenrock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4204,Parkes East Public School,2870,Parkes ,Wagga Wagga,Mitchell,Supporting students with mental health issues (ED Emotional Disturbance)
4218,Gosford East Public School,2250,East Gosford,Macquarie Park,Central Coast,Supporting students with mild intellectual disability (IM)
4218,Gosford East Public School,2250,East Gosford,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4218,Gosford East Public School,2250,East Gosford,Macquarie Park,Central Coast,Supporting students with physical disability (P)
4221,Loftus Public School,2232,Loftus ,Ultimo,Woronora River,Supporting students with disability prior to school (EI Early Intervention)
4241,Cromer Public School,2099,Cromer ,Macquarie Park,Pittwater,Supporting students with moderate intellectual disability (IO)
4246,Illaroo Road Public School,2541,North Nowra,Wagga Wagga,Shoalhaven,Supporting students with autism (Au)
4277,Campbelltown East Public School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4286,Camden South Public School,2570,Camden ,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4294,Roselea Public School,2118,Carlingford ,Macquarie Park,Carlingford,Supporting students with physical disability (P)
4314,Harrington Street Public School,2166,Cabramatta,Ultimo,Fairfield,Supporting students with moderate intellectual disability (IO)
4314,Harrington Street Public School,2166,Cabramatta,Ultimo,Fairfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4314,Harrington Street Public School,2166,Cabramatta,Ultimo,Fairfield,Supporting students with mild intellectual disability (IM)
4338,Miller Public School,2168,Miller ,Ultimo,Liverpool,Supporting students with autism (Au)
4338,Miller Public School,2168,Miller ,Ultimo,Liverpool,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4338,Miller Public School,2168,Miller ,Ultimo,Liverpool,Supporting students with mild intellectual disability (IM)
4338,Miller Public School,2168,Miller ,Ultimo,Liverpool,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4339,Kingswood South Public School,2747,Kingswood ,Macquarie Park,Penrith,Supporting students with disability prior to school (EI Early Intervention)
4339,Kingswood South Public School,2747,Kingswood ,Macquarie Park,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4391,Lansvale East Public School,2166,Cabramatta,Ultimo,Fairfield,Supporting students with autism (Au)
4391,Lansvale East Public School,2166,Cabramatta,Ultimo,Fairfield,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4402,Tregear Public School,2770,Tregear,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
4402,Tregear Public School,2770,Tregear,Macquarie Park,Mount Druitt,Supporting students with mental health issues (ED Emotional Disturbance)
4402,Tregear Public School,2770,Tregear,Macquarie Park,Mount Druitt,Supporting students with mild intellectual disability (IM)
4410,Red Hill Public School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with disability prior to school (EI Early Intervention)
4410,Red Hill Public School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4422,Emerton Public School,2770,Emerton ,Macquarie Park,Mount Druitt,Supporting students with moderate intellectual disability (IO)
4437,Hillvue Public School,2340,Tamworth ,Tamworth,Peel,Supporting students with mental health issues (ED Emotional Disturbance)
4437,Hillvue Public School,2340,Tamworth ,Tamworth,Peel,Supporting students with mild intellectual disability (IM)
4438,Wollondilly Public School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with disability prior to school (EI Early Intervention)
4438,Wollondilly Public School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with mild intellectual disability (IM)
4447,Hebersham Public School,2770,Hebersham ,Macquarie Park,Mount Druitt,Supporting students with autism (Au)
4447,Hebersham Public School,2770,Hebersham ,Macquarie Park,Mount Druitt,Supporting students with mental health issues (ED Emotional Disturbance)
4450,Berinba Public School,2582,Yass ,Wagga Wagga,Yass,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4458,Briar Road Public School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
4458,Briar Road Public School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4458,Briar Road Public School,2560,Campbelltown,Ultimo,Campbelltown,Supporting students with moderate intellectual disability (IO)
4461,Guise Public School,2564,Macquarie Fields ,Ultimo,Glenfield,Supporting students with autism (Au)
4473,Werrington Public School,2747,Werrington ,Macquarie Park,Cambridge Park,Supporting students with physical disability (P)
4473,Werrington Public School,2747,Werrington ,Macquarie Park,Cambridge Park,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4479,John Warby Public School,2560,Airds ,Ultimo,Campbelltown,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4479,John Warby Public School,2560,Airds ,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
4480,Bidwill Public School,2770,Bidwill,Macquarie Park,Mount Druitt,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4481,St Andrews Public School,2566,St Andrews,Ultimo,St Andrews,Supporting students with mild intellectual disability (IM)
4481,St Andrews Public School,2566,St Andrews,Ultimo,St Andrews,Supporting students with moderate intellectual disability (IO)
4481,St Andrews Public School,2566,St Andrews,Ultimo,St Andrews,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4482,York Public School,2750,South Penrith,Macquarie Park,Penrith,Supporting students with autism (Au)
4482,York Public School,2750,South Penrith,Macquarie Park,Penrith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4503,Tyalla Public School,2450,Coffs Harbour ,Tamworth,Coffs Harbour,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4509,Sarah Redfern Public School,2566,Minto,Ultimo,St Andrews,Supporting students with moderate intellectual disability (IO)
4509,Sarah Redfern Public School,2566,Minto,Ultimo,St Andrews,Supporting students with mild intellectual disability (IM)
4509,Sarah Redfern Public School,2566,Minto,Ultimo,St Andrews,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4510,Claymore Public School,2559,Claymore ,Ultimo,Campbelltown,Supporting students with disability prior to school (EI Early Intervention)
4510,Claymore Public School,2559,Claymore ,Ultimo,Campbelltown,Supporting students with autism (Au)
4510,Claymore Public School,2559,Claymore ,Ultimo,Campbelltown,Supporting students with moderate intellectual disability (IO)
4510,Claymore Public School,2559,Claymore ,Ultimo,Campbelltown,Supporting students with mild intellectual disability (IM)
4542,Chittaway Bay Public School,2259,Chittaway Bay ,Macquarie Park,Central Coast,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4542,Chittaway Bay Public School,2259,Chittaway Bay ,Macquarie Park,Central Coast,Supporting students with mild intellectual disability (IM)
4542,Chittaway Bay Public School,2259,Chittaway Bay ,Macquarie Park,Central Coast,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4546,Katoomba Public School,2780,Katoomba ,Macquarie Park,Blue Mountains,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4549,Orana Heights Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with disability prior to school (EI Early Intervention)
4549,Orana Heights Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with mild intellectual disability (IM)
4549,Orana Heights Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4549,Orana Heights Public School,2830,Dubbo ,Wagga Wagga,Macquarie,Supporting students with autism (Au)
4552,Manning Gardens Public School,2430,Taree ,Tamworth,Taree,Supporting students with moderate and students with severe intellectual disability (IO/IS)
4552,Manning Gardens Public School,2430,Taree ,Tamworth,Taree,Supporting students with disability prior to school (EI Early Intervention)
4552,Manning Gardens Public School,2430,Taree ,Tamworth,Taree,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4552,Manning Gardens Public School,2430,Taree ,Tamworth,Taree,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4603,St Helens Park Public School,2560,St Helens Park ,Ultimo,Camden,Supporting students with mental health issues (ED Emotional Disturbance)
4635,Cecil Hills Public School,2171,Cecil Hills ,Ultimo,Cowpasture,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4635,Cecil Hills Public School,2171,Cecil Hills ,Ultimo,Cowpasture,Supporting students with autism (Au)
4640,Sherwood Ridge Public School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with autism (Au)
4640,Sherwood Ridge Public School,2155,Kellyville ,Macquarie Park,The Ponds,Supporting students with moderate intellectual disability (IO)
4646,Elderslie Public School,2570,Elderslie,Ultimo,Camden,Supporting students with autism (Au)
4646,Elderslie Public School,2570,Elderslie,Ultimo,Camden,Supporting students with mental health issues (ED Emotional Disturbance)
4647,Middleton Grange Public School,2171,Middleton Grange,Ultimo,Cowpasture,Supporting students with moderate intellectual disability (IO)
4647,Middleton Grange Public School,2171,Middleton Grange,Ultimo,Cowpasture,Supporting students with autism (Au)
4647,Middleton Grange Public School,2171,Middleton Grange,Ultimo,Cowpasture,Supporting students with autism and/or moderate intellectual disability (IO/Au)
4648,John Palmer Public School,2769,The Ponds ,Macquarie Park,The Ponds,Supporting students with disability prior to school (EI Early Intervention)
4656,Anzac Park Public School,2062,Cammeray,Macquarie Park,North Sydney,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
4657,Spring Farm Public School,2570,Spring Farm,Ultimo,Camden,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5401,Glenfield Park School,2167,Glenfield ,Ultimo,Glenfield,Supporting students with mental health issues (ED Emotional Disturbance)
5405,Fisher Road School,2099,Dee Why ,Macquarie Park,Pittwater,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5405,Fisher Road School,2099,Dee Why ,Macquarie Park,Pittwater,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5411,Rowland Hassall School,2150,Parramatta,Macquarie Park,Auburn,Supporting students with mental health issues (ED Emotional Disturbance)
5411,Rowland Hassall School,2150,Parramatta,Macquarie Park,Auburn,Supporting students with behavioural issues (BD)
5516,Centennial Park School,2031,Randwick,Ultimo,Bondi,Supporting students with mental health issues (ED Emotional Disturbance)
5540,Bridge Road School,2050,Camperdown ,Ultimo,Iron Cove,Supporting students with mental health issues (ED Emotional Disturbance)
5545,Sydney Childrens Hospital School,2031,Randwick,Ultimo,Bondi,Supporting students with mental health issues (ED Emotional Disturbance)
5563,Passfield Park School,2566,Minto,Ultimo,St Andrews,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5568,Wangee Park School,2194,Campsie,Ultimo,Canterbury,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5574,Casuarina School,2765,Riverstone,Macquarie Park,The Ponds,Supporting students with behavioural issues (BD)
5574,Casuarina School,2765,Riverstone,Macquarie Park,The Ponds,Supporting students with mental health issues (ED Emotional Disturbance)
5575,Cook School,2232,Loftus ,Ultimo,Woronora River,Supporting students with behavioural issues (BD)
5575,Cook School,2232,Loftus ,Ultimo,Woronora River,Supporting students with mental health issues (ED Emotional Disturbance)
5576,Highlands School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5576,Highlands School,2575,Mittagong ,Ultimo,Wollondilly,Supporting students with behavioural issues (BD)
5578,Naremburn School,2065,Naremburn ,Macquarie Park,North Sydney,Supporting students with behavioural issues (BD)
5578,Naremburn School,2065,Naremburn ,Macquarie Park,North Sydney,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5578,Naremburn School,2065,Naremburn ,Macquarie Park,North Sydney,Supporting students with mental health issues (ED Emotional Disturbance)
5609,Woniora Road School,2220,Hurstville ,Ultimo,Georges River,Supporting students with mental health issues (ED Emotional Disturbance)
5632,Lawrence Hargrave School,2170,Warwick Farm ,Ultimo,Liverpool,Supporting students with mental health issues (ED Emotional Disturbance)
5633,Holroyd School,2160,Merrylands ,Macquarie Park,Parramatta,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5634,The Crescent School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5634,The Crescent School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with autism (Au)
5634,The Crescent School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5637,Coreen School,2148,Blacktown ,Macquarie Park,Bungarribee,Supporting students with behavioural issues (BD)
5637,Coreen School,2148,Blacktown ,Macquarie Park,Bungarribee,Supporting students with mental health issues (ED Emotional Disturbance)
5643,Niland School,2770,Blackett ,Macquarie Park,Mount Druitt,Supporting students with mental health issues (ED Emotional Disturbance)
5647,Bates Drive School,2232,Kareela ,Ultimo,Sutherland,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5654,Rivendell School,2138,Concord West ,Ultimo,Strathfield,Supporting students with mental health issues (ED Emotional Disturbance)
5689,Wilson Park School,2480,Lismore ,Tamworth,Lismore,Supporting students with autism and/or moderate intellectual disability (IO/Au)
5689,Wilson Park School,2480,Lismore ,Tamworth,Lismore,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5701,Newcastle Middle School,2298,Waratah,Tamworth,Newcastle,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5701,Newcastle Middle School,2298,Waratah,Tamworth,Newcastle,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5704,Newcastle Junior School,2290,Hillsborough ,Tamworth,Newcastle,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
5704,Newcastle Junior School,2290,Hillsborough ,Tamworth,Newcastle,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5712,Les Powell School,2170,Mount Pritchard,Ultimo,Liverpool,Supporting students with moderate and students with severe intellectual disability (IO/IS)
5738,Kotara School,2289,Kotara ,Tamworth,Glenrock,Supporting students with mental health issues (ED Emotional Disturbance)
5744,Kandeer School,2640,North Albury,Wagga Wagga,Albury,Supporting students with mental health issues (ED Emotional Disturbance)
5748,Ajuga School,2167,Glenfield,Ultimo,Glenfield,Supporting students with mental health issues (ED Emotional Disturbance)
5748,Ajuga School,2167,Glenfield,Ultimo,Glenfield,Supporting students with autism (Au)
5753,Lomandra School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with mental health issues (ED Emotional Disturbance)
5753,Lomandra School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with behavioural issues (BD)
5753,Lomandra School,2560,Campbelltown ,Ultimo,Campbelltown,Supporting students with mental health issues (ED Emotional Disturbance)
5762,Barwon Learning Centre,2400,Moree,Tamworth,Barwon,Supporting students with behavioural issues (BD)
5764,Woodberry Learning Centre,2322,Woodberry,Tamworth,Hunter,Supporting students with behavioural issues (BD)
5768,Fernhill School,2745,,Ultimo,Penrith,Supporting students with moderate and students with severe intellectual disability (IO/IS)
7403,Auburn Public School,2144,Auburn,Macquarie Park,Auburn,Supporting students with mild intellectual disability (IM)
7403,Auburn Public School,2144,Auburn,Macquarie Park,Auburn,Supporting students with autism (Au)
7403,Auburn Public School,2144,Auburn,Macquarie Park,Auburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
7409,Chatswood Public School,2067,Chatswood ,Macquarie Park,Gordon,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
7418,Gardeners Road Public School,2018,Rosebery,Ultimo,Botany Bay,Supporting students with severe intellectual disability (IS)
7418,Gardeners Road Public School,2018,Rosebery,Ultimo,Botany Bay,Supporting students with mild intellectual disability (IM)
7418,Gardeners Road Public School,2018,Rosebery,Ultimo,Botany Bay,Supporting students with moderate intellectual disability (IO)
7423,Leichhardt Public School,2040,Leichhardt,Ultimo,Iron Cove,Supporting students with mild intellectual disability (IM)
7423,Leichhardt Public School,2040,Leichhardt,Ultimo,Iron Cove,Supporting students with moderate intellectual disability (IO)
7423,Leichhardt Public School,2040,Leichhardt,Ultimo,Iron Cove,Supporting students with autism (Au)
7445,Woy Woy Public School,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with mental health issues (ED Emotional Disturbance)
7445,Woy Woy Public School,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with autism (Au)
7445,Woy Woy Public School,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with mild intellectual disability (IM)
7445,Woy Woy Public School,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with disability prior to school (EI Early Intervention)
7445,Woy Woy Public School,2256,Woy Woy ,Macquarie Park,Brisbane Water,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8103,"Denison College of Secondary Education, Bathurst High Campus",2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with mild intellectual disability (IM)
8103,"Denison College of Secondary Education, Bathurst High Campus",2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with autism (Au)
8103,"Denison College of Secondary Education, Bathurst High Campus",2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with mental health issues (ED Emotional Disturbance)
8103,"Denison College of Secondary Education, Bathurst High Campus",2795,Bathurst ,Wagga Wagga,Bathurst,Supporting students with moderate intellectual disability (IO)
8105,Broken Hill High School,2880,Broken Hill,Wagga Wagga,Far West,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8105,Broken Hill High School,2880,Broken Hill,Wagga Wagga,Far West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8109,Coffs Harbour High School,2450,Coffs Harbour,Tamworth,Coffs Harbour,Supporting students with mild intellectual disability (IM)
8114,Glen Innes High School,2370,Glen Innes ,Tamworth,Northern Tablelands,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8116,Goulburn High School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8116,Goulburn High School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with autism (Au)
8116,Goulburn High School,2580,Goulburn ,Wagga Wagga,Goulburn,Supporting students with mild intellectual disability (IM)
8118,Griffith High School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with mild intellectual disability (IM)
8118,Griffith High School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with autism (Au)
8118,Griffith High School,2680,Griffith ,Wagga Wagga,Griffith,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8122,Inverell High School,2360,Inverell ,Tamworth,Namoi,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8122,Inverell High School,2360,Inverell ,Tamworth,Namoi,Supporting students with mild intellectual disability (IM)
8122,Inverell High School,2360,Inverell ,Tamworth,Namoi,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8122,Inverell High School,2360,Inverell ,Tamworth,Namoi,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8126,Maitland High School,2323,East Maitland,Tamworth,Maitland,Supporting students with moderate intellectual disability (IO)
8126,Maitland High School,2323,East Maitland,Tamworth,Maitland,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8139,Tamworth High School,2340,South Tamworth,Tamworth,Peel,Supporting students with mild intellectual disability (IM)
8139,Tamworth High School,2340,South Tamworth,Tamworth,Peel,Supporting students with mental health issues (ED Emotional Disturbance)
8139,Tamworth High School,2340,South Tamworth,Tamworth,Peel,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8139,Tamworth High School,2340,South Tamworth,Tamworth,Peel,Supporting students with moderate intellectual disability (IO)
8142,Wagga Wagga High School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8142,Wagga Wagga High School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with mental health issues (ED Emotional Disturbance)
8142,Wagga Wagga High School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with mild intellectual disability (IM)
8142,Wagga Wagga High School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with moderate intellectual disability (IO)
8142,Wagga Wagga High School,2650,Wagga Wagga ,Wagga Wagga,Wagga Wagga,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8148,Cowra High School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with mental health issues (ED Emotional Disturbance)
8148,Cowra High School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with mild intellectual disability (IM)
8148,Cowra High School,2794,Cowra ,Wagga Wagga,Cowra,Supporting students with autism and/or moderate intellectual disability (IO/Au)
8155,Young High School,2594,Young ,Wagga Wagga,Temora,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8155,Young High School,2594,Young ,Wagga Wagga,Temora,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8156,Leeton High School,2705,Leeton,Wagga Wagga,Narrandera,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8157,Narrandera High School,2700,Narrandera,Wagga Wagga,Narrandera,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8174,Quirindi High School,2343,Quirindi ,Tamworth,Mooki,Supporting students with mild intellectual disability (IM)
8174,Quirindi High School,2343,Quirindi ,Tamworth,Mooki,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8174,Quirindi High School,2343,Quirindi ,Tamworth,Mooki,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8177,Kurri Kurri High School,2327,Kurri Kurri ,Tamworth,Cessnock,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8177,Kurri Kurri High School,2327,Kurri Kurri ,Tamworth,Cessnock,Supporting students with mild intellectual disability (IM)
8177,Kurri Kurri High School,2327,Kurri Kurri ,Tamworth,Cessnock,Supporting students with moderate intellectual disability (IO)
8202,Singleton High School,2330,Singleton,Tamworth,Upper Hunter,Supporting students with mental health issues (ED Emotional Disturbance)
8202,Singleton High School,2330,Singleton,Tamworth,Upper Hunter,Supporting students with mild intellectual disability (IM)
8202,Singleton High School,2330,Singleton,Tamworth,Upper Hunter,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8203,Belmont High School,2280,Belmont,Tamworth,Lake Macquarie East,Supporting students with moderate intellectual disability (IO)
8203,Belmont High School,2280,Belmont,Tamworth,Lake Macquarie East,Supporting students with mild intellectual disability (IM)
8209,Cabramatta High School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with moderate intellectual disability (IO)
8209,Cabramatta High School,2166,Cabramatta ,Ultimo,Fairfield,Supporting students with mild intellectual disability (IM)
8210,Lake Macquarie High School,2284,Booragul ,Tamworth,Lake Macquarie West,Supporting students with mental health issues (ED Emotional Disturbance)
8210,Lake Macquarie High School,2284,Booragul ,Tamworth,Lake Macquarie West,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8211,Normanhurst Boys High School,2076,Normanhurst,Macquarie Park,Hornsby,Supporting students with autism (Au)
8215,Picton High School,2571,Picton ,Ultimo,Wollondilly,Supporting students with autism (Au)
8215,Picton High School,2571,Picton ,Ultimo,Wollondilly,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8215,Picton High School,2571,Picton ,Ultimo,Wollondilly,Supporting students with mental health issues (ED Emotional Disturbance)
8215,Picton High School,2571,Picton ,Ultimo,Wollondilly,Supporting students with mild intellectual disability (IM)
8215,Picton High School,2571,Picton ,Ultimo,Wollondilly,Supporting students with moderate intellectual disability (IO)
8218,Deniliquin High School,2710,Deniliquin ,Wagga Wagga,Deniliquin,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8218,Deniliquin High School,2710,Deniliquin ,Wagga Wagga,Deniliquin,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8227,Merrylands High School,2160,Merrylands ,Macquarie Park,Parramatta,Supporting students with a range of disabilities with similar support needs (MC Multi Categorical)
8231,Seven Hills High School,2147,Seven Hills,Macquarie Park,Quakers Hill,Supporting students with mild intellectual disability (IM)
8249,Matraville Sports High School,2036,Chifley ,Ultimo,Botany Bay,Supporting students with moderate and students with severe intellectual disability (IO/IS)
8249,Matraville Sports High School,2036,Chifley ,Ultimo,Botany Bay,Supporting students with autism (Au)
8249,Matraville Sports High School,2036,Chifley ,Ultimo,Botany Bay,Supporting students with mild intellectual disability (IM)
8249,Matraville Sports High School,2036,Chifley ,Ultimo,Botany Bay,Supporting students with behavioural issues (BD)
8253,Auburn Girls High School,2144,Auburn ,Macquarie Park,Auburn,Supporting students with moderate intellectual disability (IO)
8253,Auburn Girls High School,2144,Auburn ,Macquarie Park,Auburn,Supporting students with mild intellectual disability (IM)
8259,Callaghan College Wallsend Campus,2287,Wallsend ,Tamworth,Callaghan,Supporting students with moderate and students with severe intellectual disability (IO/IS)
